sno,Date,Store ID,Product ID,Category,Region,Units Sold,Price,Weather Condition,Competitor Pricing,Seasonality,Demand,Revenue,Month
0,2022-01-01,S001,P0001,Electronics,North,102,72.72,Snowy,85.73,Winter,115,7417.44,2022-01
1,2022-01-01,S001,P0002,Clothing,North,117,80.16,Snowy,92.02,Winter,229,9378.72,2022-01
2,2022-01-01,S001,P0003,Clothing,North,114,62.94,Snowy,60.08,Winter,157,7175.16,2022-01
3,2022-01-01,S001,P0004,Electronics,North,45,87.63,Snowy,85.19,Winter,52,3943.35,2022-01
4,2022-01-01,S001,P0005,Groceries,North,65,54.41,Snowy,51.63,Winter,59,3536.65,2022-01
5,2022-01-01,S001,P0006,Toys,North,60,35.53,Snowy,40.01,Winter,55,2131.8,2022-01
6,2022-01-01,S001,P0007,Groceries,North,81,23.27,Snowy,24.78,Winter,94,1884.87,2022-01
7,2022-01-01,S001,P0008,Electronics,North,42,37.79,Snowy,44.85,Winter,61,1587.18,2022-01
8,2022-01-01,S001,P0009,Clothing,North,88,94.2,Snowy,108.7,Winter,129,8289.6,2022-01
9,2022-01-01,S001,P0010,Furniture,North,70,113.35,Snowy,129.98,Winter,69,7934.5,2022-01
10,2022-01-01,S001,P0011,Furniture,North,51,156.34,Snowy,188.96,Winter,64,7973.34,2022-01
11,2022-01-01,S001,P0012,Groceries,North,121,84.48,Snowy,92.02,Winter,104,10222.08,2022-01
12,2022-01-01,S001,P0013,Toys,North,113,33.1,Snowy,39.11,Winter,110,3740.3,2022-01
13,2022-01-01,S001,P0014,Groceries,North,121,80.13,Snowy,92.24,Winter,165,9695.73,2022-01
14,2022-01-01,S001,P0015,Toys,North,55,14.39,Snowy,13.59,Winter,64,791.45,2022-01
15,2022-01-01,S001,P0016,Groceries,North,78,38.79,Snowy,35.14,Winter,115,3025.62,2022-01
16,2022-01-01,S001,P0017,Toys,North,59,21.21,Snowy,22.73,Winter,75,1251.39,2022-01
17,2022-01-01,S001,P0018,Groceries,North,78,54.4,Snowy,54.1,Winter,66,4243.2,2022-01
18,2022-01-01,S001,P0019,Furniture,North,61,95.56,Snowy,103.05,Winter,58,5829.16,2022-01
19,2022-01-01,S001,P0020,Furniture,North,36,100.47,Snowy,115.24,Winter,43,3616.92,2022-01
20,2022-01-01,S002,P0001,Groceries,South,102,90.89,Cloudy,81.87,Winter,118,9270.78,2022-01
21,2022-01-01,S002,P0002,Toys,South,119,25.68,Cloudy,30.95,Winter,105,3055.92,2022-01
22,2022-01-01,S002,P0003,Groceries,South,167,95.17,Cloudy,84.24,Winter,171,15893.39,2022-01
23,2022-01-01,S002,P0004,Groceries,South,111,39.54,Cloudy,46.57,Winter,110,4388.94,2022-01
